AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
-9,-9,1191,'1 1BR','1980-1989',-9
44,0.1222642903,1467,'4 4BR+','1980-1989',130000
26,0.1898035957,1057,'2 2BR','2000-2009',130000
-9,-9,844,'1 1BR','2000-2009',-9
43,0.4181718117,1530,'3 3BR','2000-2009',40000
33,0.1931720707,1760,'4 4BR+','2000-2009',35000
64,0.6594613141,1989,'4 4BR+','2000-2009',35000
31,0.2996329001,1530,'3 3BR','2000-2009',60500
57,0.1897928974,1530,'3 3BR','2000-2009',75000
50,0.199594599,1760,'4 4BR+','2000-2009',121000
-9,-9,1064,'2 2BR','1980-1989',-9
80,0.2159399457,843,'3 3BR','1980-1989',0
66,0.6115789474,566,'1 1BR','1980-1989',0
-9,-9,1094,'4 4BR+','2000-2009',-9
31,0.1340596576,683,'2 2BR','2000-2009',159000
39,0.1706187391,907,'3 3BR','2000-2009',56000
93,0.2852830189,907,'3 3BR','2000-2009',0
-9,-9,907,'3 3BR','2000-2009',-9
69,0.1924363636,683,'2 2BR','2000-2009',20000
72,2.8524020837,907,'3 3BR','2000-2009',0
46,0.1805727706,1251,'3 3BR','1980-1989',46000
35,0.4071466967,1497,'4 4BR+','2000-2009',77200
41,0.2321925449,1497,'4 4BR+','2000-2009',156000
39,0.235612277,1302,'3 3BR','2000-2009',54000
61,0.4583918187,1377,'4 4BR+','1980-1989',20000
-9,-9,988,'3 3BR','1980-1989',-9
87,0.219047619,1039,'3 3BR','1980-1989',0
56,0.1512065618,1214,'4 4BR+','2000-2009',94000
53,0.1408849335,1136,'4 4BR+','2000-2009',169200
-9,-9,1573,'4 4BR+','1980-1989',-9
51,0.1649619216,1032,'3 3BR','1980-1989',50000
33,0.2121021232,602,'1 1BR','1980-1989',27000
59,0.1610793533,988,'3 3BR','1980-1989',90000
41,0.4105894975,1058,'3 3BR','2000-2009',32000
27,0.2277897969,729,'1 1BR','2000-2009',43000
29,0.5607142857,729,'1 1BR','1980-1989',0
46,0.1206727774,1187,'4 4BR+','2000-2009',45000
70,0.0300921285,773,'2 2BR','2000-2009',0
29,0.0904936552,729,'1 1BR','1980-1989',102000
-9,-9,1285,'4 4BR+','2000-2009',-9
42,0.2018585305,1058,'3 3BR','2000-2009',38000
47,0.1199394737,1285,'4 4BR+','2000-2009',165000
-9,-9,1058,'3 3BR','1980-1989',-9
27,0.5644316242,864,'2 2BR','1980-1989',17000
65,0.1577351672,1843,'3 3BR','1980-1989',149400
40,0.4896365275,934,'3 3BR','2000-2009',20000
49,0.2874251497,934,'3 3BR','2000-2009',64000
35,0.0201213484,669,'2 2BR','2000-2009',103200
62,0.1296888889,1077,'3 3BR','1980-1989',87000
33,0.2578811043,1473,'4 4BR+','2000-2009',95000
74,0.1571770335,975,'2 2BR','2000-2009',0
58,0.0650162866,1058,'3 3BR','2000-2009',87000
37,0.2298597635,1249,'4 4BR+','2000-2009',100000
26,0.3443283228,976,'2 2BR','2000-2009',38000
32,0.6201964337,976,'2 2BR','2000-2009',21000
81,0.5637096774,976,'2 2BR','2000-2009',0
62,0.0803304985,976,'2 2BR','2000-2009',0
36,0.2260867391,1282,'3 3BR','2000-2009',80000
44,0.3558224048,765,'1 1BR','1980-1989',19000
72,0.1291982727,1290,'3 3BR','2000-2009',80000
65,0.2177415929,945,'2 2BR','2000-2009',40000
65,0.8341480863,1436,'4 4BR+','1980-1989',0
21,0.1191483985,769,'1 1BR','2000-2009',95000
23,0.4218212162,765,'1 1BR','1980-1989',19200
46,-1,1282,'3 3BR','2000-2009',0
43,0.1514831883,1474,'4 4BR+','2000-2009',177000
63,0.2145942521,1282,'3 3BR','2000-2009',44000
52,0.6589090909,888,'3 3BR','2000-2009',10000
42,0.079572907,1528,'4 4BR+','2000-2009',49000
-9,-9,730,'1 1BR','1980-1989',-9
50,0.1882815887,1528,'4 4BR+','2000-2009',120000
63,0.5568,915,'2 2BR','1980-1989',0
54,0.0586223742,730,'1 1BR','2000-2009',341943
65,0.143723355,1208,'3 3BR','1990-1999',43000
49,0.220315443,867,'3 3BR','2000-2009',52600
88,0.1825352113,907,'3 3BR','1980-1989',0
58,0.1099932931,2245,'4 4BR+','1980-1989',170000
42,0.0993251865,572,'1 1BR','1980-1989',87000
33,0.1716743922,907,'3 3BR','1990-1999',60000
56,0.0597072051,1243,'3 3BR','2000-2009',115000
42,0.2868494973,1436,'4 4BR+','2000-2009',107000
58,0.484771493,966,'2 2BR','2000-2009',30000
35,0.3620271674,966,'2 2BR','2000-2009',26000
34,0.2202762066,1436,'4 4BR+','2000-2009',91000
39,0.1804620858,969,'3 3BR','2000-2009',140000
37,0.9747747166,1445,'4 4BR+','2000-2009',30500
52,0.1141385209,1436,'4 4BR+','1980-1989',390443
44,0.0951358348,1528,'4 4BR+','2000-2009',0
58,0.2751939646,812,'3 3BR','1980-1989',52500
37,0.0865116279,956,'2 2BR','2000-2009',0
19,0.1483303456,652,'2 2BR','2000-2009',48000
69,0.3511203511,652,'2 2BR','2000-2009',0
38,0.3466908086,1282,'3 3BR','2000-2009',63000
80,0.5074569972,991,'4 4BR+','2000-2009',42000
37,0.3024203446,1214,'4 4BR+','2000-2009',40300
-9,-9,792,'2 2BR','2000-2009',-9
68,0.0580082548,949,'3 3BR','2000-2009',0
61,0.5105506948,949,'3 3BR','2000-2009',35000
80,0.4326213592,751,'2 2BR','2000-2009',0
45,0.2972366923,576,'1 1BR','1990-1999',29000
54,0.0283366537,755,'1 1BR','1980-1989',0
54,0.378763678,1058,'3 3BR','1980-1989',7000
-9,-9,1173,'3 3BR','1980-1989',-9
32,0.6063136796,1054,'1 1BR','1980-1989',12000
43,0.2808453887,1435,'4 4BR+','2000-2009',108000
28,0.1483250658,956,'2 2BR','1980-1989',98000
40,0.1751123873,1073,'3 3BR','1980-1989',85000
47,0.115774284,1002,'3 3BR','2000-2009',130000
65,0.2464556851,1195,'4 4BR+','2000-2009',180000
62,0.4130929204,1234,'4 4BR+','1980-1989',55000
-9,-9,1955,'3 3BR','1980-1989',-9
21,0.1859364072,518,'1 1BR','2000-2009',37200
27,0.1620972812,1037,'3 3BR','2000-2009',105000
40,0.1391723651,1232,'4 4BR+','2000-2009',384943
75,0.5793975904,1037,'3 3BR','1990-1999',0
47,0.2317180617,753,'2 2BR','1990-1999',68000
78,336,552,'1 1BR','1980-1989',0
60,0.0402791512,1151,'4 4BR+','1980-1989',341943
43,0.2835485807,935,'2 2BR','1980-1989',45000
-9,-9,757,'1 1BR','1980-1989',-9
20,0.1665066435,804,'2 2BR','1980-1989',64600
43,0.7029398859,2101,'4 4BR+','2000-2009',0
27,0.2417658968,1424,'4 4BR+','2000-2009',91900
50,0.0288166496,804,'2 2BR','2000-2009',45000
31,0.2569336055,804,'2 2BR','1980-1989',2273
31,0.149750416,1210,'2 2BR','1980-1989',44500
48,0.3503454424,1210,'2 2BR','1980-1989',18000
-9,-9,574,'1 1BR','1980-1989',-9
19,0.3693120423,666,'2 2BR','1980-1989',25000
71,0.6335483871,1390,'2 2BR','2000-2009',0
58,0.751412203,1410,'2 2BR','1980-1989',25000
57,0.2076028321,964,'2 2BR','1980-1989',47000
50,0.1040478305,2367,'4 4BR+','2000-2009',104000
79,0.8435818601,1583,'2 2BR','2000-2009',0
55,0.5410449129,2675,'4 4BR+','2000-2009',103000
31,0.1435697709,664,'2 2BR','2000-2009',75000
56,0.2852312114,883,'3 3BR','2000-2009',71000
64,17.82278481,1105,'3 3BR','2000-2009',0
25,0.1946777252,1278,'4 4BR+','2000-2009',96000
26,0.3102865195,701,'1 1BR','2000-2009',42500
33,-1,1183,'3 3BR','2000-2009',0
36,0.3071388102,1002,'3 3BR','2000-2009',0
59,0.1160431017,1721,'3 3BR','2000-2009',105000
30,0.1695673523,743,'2 2BR','1980-1989',23000
48,0.2955974843,1191,'0 Studio','2000-2009',0
34,0.2240702241,1474,'2 2BR','2000-2009',26000
50,0.69875,1577,'3 3BR','1980-1989',0
37,0.6674361564,1760,'4 4BR+','2000-2009',27750
58,0.1230810586,1116,'2 2BR','1980-1989',208000
48,0.3182195955,1760,'4 4BR+','2000-2009',45000
72,0.8775935971,1948,'4 4BR+','2000-2009',4800
33,0.513104482,1827,'4 4BR+','2000-2009',48000
81,1.1974858384,1827,'4 4BR+','2000-2009',0
45,0.4502003859,1827,'4 4BR+','2000-2009',27000
48,0.1497530275,784,'1 1BR','1980-1989',65000
52,0.3224516129,1430,'3 3BR','1990-1999',2000
39,0.2096670097,1876,'3 3BR','1980-1989',170000
-9,-9,868,'2 2BR','1990-1999',-9
23,0.8358333333,870,'2 2BR','1980-1989',0
67,0.5751937984,693,'1 1BR','1980-1989',0
71,0.0700875657,1102,'3 3BR','2000-2009',7200
65,0.1643532736,1262,'4 4BR+','1980-1989',90000
47,0.093792051,1987,'4 4BR+','2000-2009',194000
30,0.1907119814,1987,'4 4BR+','2000-2009',80000
51,0.2327100855,683,'2 2BR','2000-2009',0
80,1.7872340426,907,'3 3BR','1980-1989',0
63,0.26544,907,'3 3BR','1990-1999',0
74,0.1235780146,1059,'4 4BR+','1980-1989',26000
51,0.1757142857,828,'2 2BR','1980-1989',70000
54,0.4724066088,1056,'3 3BR','2000-2009',0
71,0.3310588235,1257,'4 4BR+','2000-2009',0
51,0.7262776944,1257,'4 4BR+','2000-2009',34000
41,0.154000025,1058,'3 3BR','2000-2009',160000
35,0.471370225,1058,'3 3BR','2000-2009',25000
76,0.3782458598,1597,'3 3BR','1980-1989',22000
77,0.3566666667,1183,'2 2BR','1980-1989',0
26,0.4841207142,947,'1 1BR','1990-1999',19000
60,0.1837677796,888,'3 3BR','1980-1989',100000
30,0.3239105419,956,'2 2BR','2000-2009',40000
29,0.2241156118,1282,'3 3BR','2000-2009',85000
67,0.1835330992,726,'2 2BR','2000-2009',6879
54,0.2528665866,729,'2 2BR','1980-1989',45000
37,0.0938824335,1193,'4 4BR+','2000-2009',341943
27,0.2495387556,956,'2 2BR','After 2010',90000
40,1.0871628372,1474,'4 4BR+','2000-2009',0
41,0.8282118557,1282,'3 3BR','2000-2009',45000
25,0.2606514141,956,'2 2BR','2000-2009',44800
50,0.587563833,1282,'3 3BR','2000-2009',0
44,0.137079017,1328,'4 4BR+','1980-1989',55000
-9,-9,737,'2 2BR','1980-1989',-9
70,4.1889117043,1032,'3 3BR','1980-1989',0
37,0.5145256811,1895,'3 3BR','2000-2009',46500
49,0.7344847587,1895,'3 3BR','2000-2009',52000
-9,-9,1474,'2 2BR','2000-2009',-9
84,0.2967678746,1243,'1 1BR','1980-1989',0
46,0.2149589018,2124,'4 4BR+','2000-2009',93000
54,0.2014015254,1105,'3 3BR','2000-2009',155000
